"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","State - Type: Automobiles - Make: All Makes - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | Connecticut, Massachusetts, New York, Pennsylvania, Rhode Island, Vermont | Automobiles | All Makes | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP18466EA930787"
"ColumnCount:",7
"RowCount:",552

"Time","Connecticut, Automobiles, All Makes, All Models, All Vehicle Years, #","Massachusetts, Automobiles, All Makes, All Models, All Vehicle Years, #","New York, Automobiles, All Makes, All Models, All Vehicle Years, #","Pennsylvania, Automobiles, All Makes, All Models, All Vehicle Years, #","Rhode Island, Automobiles, All Makes, All Models, All Vehicle Years, #","Vermont, Automobiles, All Makes, All Models, All Vehicle Years, #"
"01/1987",58,104,362,330,30,26
"02/1987",54,120,298,358,20,20
"03/1987",72,152,422,430,8,10
"04/1987",76,100,426,344,16,12
"05/1987",96,148,456,522,30,6
"06/1987",110,142,634,480,34,26
"07/1987",160,160,612,506,26,26
"08/1987",120,192,686,534,38,36
"09/1987",144,144,452,440,36,54
"10/1987",134,174,616,572,44,24
"11/1987",108,116,538,516,28,30
"12/1987",80,190,514,546,14,16
"01/1988",76,100,376,404,22,32
"02/1988",88,76,358,344,20,12
"03/1988",86,120,334,400,18,4
"04/1988",110,156,432,404,28,34
"05/1988",96,174,534,470,30,30
"06/1988",140,206,544,442,32,22
"07/1988",112,218,602,446,46,16
"08/1988",134,170,498,514,36,28
"09/1988",150,136,570,428,26,36
"10/1988",116,198,540,538,32,38
"11/1988",110,156,454,498,22,52
"12/1988",96,172,586,574,32,22
"01/1989",68,170,470,388,30,42
"02/1989",62,102,328,362,20,28
"03/1989",74,150,424,410,18,24
"04/1989",86,174,412,466,30,10
"05/1989",92,158,546,410,24,18
"06/1989",70,118,418,422,26,24
"07/1989",102,160,502,510,28,18
"08/1989",106,156,682,460,20,32
"09/1989",100,148,466,386,14,20
"10/1989",122,164,582,554,30,28
"11/1989",94,142,482,424,28,28
"12/1989",106,130,552,506,20,28
"01/1990",82,144,530,354,22,30
"02/1990",62,108,302,354,16,10
"03/1990",74,100,458,338,16,12
"04/1990",112,116,370,406,22,18
"05/1990",68,88,496,378,14,14
"06/1990",62,120,492,322,14,18
"07/1990",118,150,558,370,16,16
"08/1990",80,134,542,432,16,30
"09/1990",92,106,522,418,24,20
"10/1990",98,122,548,394,22,10
"11/1990",76,132,502,412,8,20
"12/1990",90,164,492,342,22,24
"01/1991",36,80,198,194,4,14
"02/1991",44,54,234,228,2,12
"03/1991",44,94,254,208,24,10
"04/1991",26,48,262,206,10,4
"05/1991",34,84,266,212,10,12
"06/1991",46,80,336,246,8,12
"07/1991",24,80,312,216,12,8
"08/1991",62,112,378,212,10,22
"09/1991",40,74,326,284,28,16
"10/1991",52,66,266,278,22,12
"11/1991",58,78,332,266,12,28
"12/1991",60,78,302,284,18,10
"01/1992",28,94,216,158,12,6
"02/1992",22,84,210,212,8,12
"03/1992",40,82,286,216,14,8
"04/1992",26,86,206,186,8,8
"05/1992",90,74,218,266,20,10
"06/1992",22,92,286,194,6,14
"07/1992",34,52,282,220,10,18
"08/1992",48,44,278,266,12,12
"09/1992",36,70,240,210,8,4
"10/1992",40,80,320,192,6,16
"11/1992",58,82,262,258,28,8
"12/1992",60,74,274,238,4,10
"01/1993",46,44,206,218,16,10
"02/1993",30,80,164,212,8,8
"03/1993",30,76,238,152,12,10
"04/1993",38,54,234,188,6,4
"05/1993",74,56,204,226,14,14
"06/1993",44,70,260,150,8,10
"07/1993",52,62,302,236,,10
"08/1993",34,54,288,208,8,16
"09/1993",52,72,254,192,4,8
"10/1993",86,82,346,262,12,16
"11/1993",70,56,256,278,8,20
"12/1993",52,96,298,262,16,22
"01/1994",34,46,184,122,12,8
"02/1994",56,38,188,178,10,
"03/1994",32,70,166,158,16,6
"04/1994",42,58,216,150,8,6
"05/1994",34,52,202,246,8,2
"06/1994",32,58,212,206,4,8
"07/1994",28,64,296,212,4,10
"08/1994",44,62,242,252,6,26
"09/1994",44,54,272,168,12,20
"10/1994",54,76,270,244,14,12
"11/1994",58,70,292,202,16,14
"12/1994",72,94,344,300,16,
"01/1995",44,48,206,228,14,12
"02/1995",34,74,154,178,12,6
"03/1995",52,70,210,176,8,8
"04/1995",62,60,208,210,4,12
"05/1995",40,40,274,222,4,10
"06/1995",34,46,234,208,8,20
"07/1995",32,76,256,212,12,8
"08/1995",30,70,284,242,8,16
"09/1995",54,64,276,192,14,16
"10/1995",42,92,264,192,2,4
"11/1995",40,70,188,226,16,12
"12/1995",30,82,238,170,8,12
"01/1996",32,36,172,142,4,14
"02/1996",36,52,164,156,2,16
"03/1996",40,62,174,166,14,6
"04/1996",34,54,182,216,4,6
"05/1996",62,44,202,194,8,2
"06/1996",50,40,214,214,10,10
"07/1996",54,60,208,162,2,18
"08/1996",60,58,234,206,2,8
"09/1996",40,78,224,212,16,18
"10/1996",34,108,266,210,18,14
"11/1996",62,60,252,266,10,4
"12/1996",28,44,264,270,16,6
"01/1997",44,72,220,238,20,14
"02/1997",54,60,190,180,6,18
"03/1997",32,48,194,186,10,2
"04/1997",50,48,200,172,18,6
"05/1997",38,72,228,188,14,14
"06/1997",34,76,218,200,12,6
"07/1997",40,56,264,228,20,18
"08/1997",62,46,242,222,6,20
"09/1997",54,44,200,168,6,12
"10/1997",62,74,226,246,6,14
"11/1997",30,56,246,216,10,6
"12/1997",38,80,216,250,2,8
"01/1998",22,50,186,208,12,4
"02/1998",34,38,160,166,14,4
"03/1998",48,50,180,204,12,8
"04/1998",28,36,188,164,10,8
"05/1998",42,56,202,162,10,14
"06/1998",44,36,182,146,12,4
"07/1998",28,72,212,212,22,14
"08/1998",76,70,212,208,8,24
"09/1998",48,40,202,220,4,14
"10/1998",52,76,202,214,22,16
"11/1998",52,56,212,184,4,10
"12/1998",62,72,272,208,6,14
"01/1999",42,66,174,150,18,4
"02/1999",44,58,176,128,,12
"03/1999",30,40,150,190,4,6
"04/1999",40,44,150,164,4,4
"05/1999",42,78,242,214,8,10
"06/1999",20,60,220,180,14,14
"07/1999",38,42,218,176,10,4
"08/1999",48,48,202,218,20,14
"09/1999",54,50,192,202,12,4
"10/1999",50,70,194,260,18,12
"11/1999",48,90,188,164,10,6
"12/1999",44,34,286,218,18,20
"01/2000",19,29,98,86,3,5
"02/2000",11,16,70,83,5,5
"03/2000",19,24,81,64,5,2
"04/2000",21,27,92,99,7,3
"05/2000",23,19,97,76,4,2
"06/2000",17,31,92,95,2,1
"07/2000",23,34,106,102,7,5
"08/2000",28,30,104,93,5,4
"09/2000",21,30,95,120,4,6
"10/2000",25,35,100,114,6,4
"11/2000",19,42,91,84,3,2
"12/2000",34,45,97,90,4,6
"01/2001",16,29,66,86,8,2
"02/2001",15,24,71,69,4,3
"03/2001",23,12,83,77,4,5
"04/2001",19,28,77,76,4,6
"05/2001",28,24,118,85,6,3
"06/2001",18,34,78,93,7,6
"07/2001",21,34,95,91,6,5
"08/2001",26,26,87,87,4,8
"09/2001",13,32,97,86,7,5
"10/2001",24,33,123,121,12,5
"11/2001",27,37,118,106,7,7
"12/2001",32,36,126,151,4,11
"01/2002",22,17,100,93,6,4
"02/2002",19,12,67,90,4,3
"03/2002",19,31,72,99,8,5
"04/2002",16,30,75,101,3,
"05/2002",16,45,90,100,5,1
"06/2002",14,37,91,83,4,5
"07/2002",19,25,104,93,7,5
"08/2002",19,48,117,102,11,8
"09/2002",25,34,92,113,10,2
"10/2002",32,19,77,85,7,2
"11/2002",28,21,89,94,6,3
"12/2002",21,29,107,111,11,8
"01/2003",23,32,81,94,6,3
"02/2003",12,18,63,80,4,6
"03/2003",22,29,81,89,14,5
"04/2003",17,42,75,103,4,4
"05/2003",21,21,74,74,4,
"06/2003",23,30,78,88,8,4
"07/2003",12,21,102,90,9,5
"08/2003",27,26,90,99,1,2
"09/2003",27,29,78,100,8,4
"10/2003",21,29,106,110,6,5
"11/2003",17,39,108,97,16,5
"12/2003",16,33,88,67,3,3
"01/2004",18,31,94,96,8,1
"02/2004",15,28,78,67,2,5
"03/2004",16,26,69,73,6,3
